time_s,x_m,y_m,z_m,theta_x_deg,theta_y_deg,theta_z_deg
0.020706,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
0.075171,0.677219,0.171328,0.069364,170.640854,73.990387,165.970840
0.115381,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
0.171201,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
0.213713,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
0.266799,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
0.325655,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
0.363437,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
0.413521,0.677218,0.171328,0.069364,170.640778,73.990356,165.970749
0.463657,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
0.518427,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
0.563806,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
0.613707,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
0.663767,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
0.713602,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
0.763623,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
0.813828,0.677218,0.171328,0.069364,170.640778,73.990356,165.970749
0.868183,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
0.913567,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
0.963867,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
1.019851,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
1.063633,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
1.114066,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
1.167318,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
1.214222,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
1.288520,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
1.318419,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
1.388683,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
1.439464,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
1.467863,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
1.538929,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
1.589541,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
1.639235,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
1.689491,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
1.744010,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
1.788815,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
1.838665,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
1.893169,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
1.938811,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
1.988830,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.042682,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.088881,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.141467,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.192784,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
2.238621,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.291065,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
2.342282,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.389773,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.438803,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.488754,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.539112,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.588856,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
2.638690,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.688797,0.677218,0.171328,0.069364,170.640778,73.990356,165.970749
2.738737,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
2.789169,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.839919,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.889473,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
2.938749,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
2.989487,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
3.038508,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
3.088987,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
3.138832,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
3.189993,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
3.239634,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
3.288810,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
3.339407,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
3.388723,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
3.438705,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
3.493506,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
3.538744,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
3.588784,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
3.643500,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
3.689391,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
3.741563,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
3.792666,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
3.865389,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
3.914279,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
3.942942,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
4.015961,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
4.064306,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.093157,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
4.163792,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.217343,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.264191,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.314037,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
4.368936,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.414102,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
4.463821,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
4.519511,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
4.564502,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.613537,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
