time_s,fx_N,fy_N,fz_N,tx_Nm,ty_Nm,tz_Nm
0.019052,4.184146,-2.199073,-1.604373,0.228752,-0.002846,1.102751
0.080819,4.190721,-1.968669,-1.744033,0.188919,-0.013415,1.063765
0.121710,4.196937,-1.931459,-1.596957,0.227778,-0.000365,1.076304
0.168674,4.202994,-2.344932,-1.675281,0.256846,-0.000104,1.153654
0.222066,3.997382,-1.933354,-1.578227,0.205467,-0.010133,1.077713
0.270274,4.043034,-2.076295,-1.717566,0.207050,-0.048726,1.093441
0.320916,4.018180,-2.198372,-1.527246,0.234902,0.018377,1.121474
0.369043,3.984165,-1.956526,-1.749794,0.183334,-0.046605,1.070368
0.419484,4.102192,-2.050970,-1.573795,0.191093,0.004425,1.036291
0.468853,4.040546,-1.900858,-1.611083,0.167859,-0.036339,1.034429
0.518828,4.151893,-2.038170,-1.737587,0.228613,-0.017743,1.110093
0.568944,4.113968,-2.214104,-1.497005,0.253570,0.013592,1.139474
0.621201,4.140623,-1.930271,-1.731798,0.194668,-0.018957,1.045083
0.668690,4.250274,-2.079396,-1.649447,0.210242,-0.006217,1.096817
0.719779,4.144826,-2.122574,-1.651618,0.192827,0.006322,1.082419
0.770020,4.000427,-1.878277,-1.583408,0.195498,-0.016797,1.051751
0.819572,4.151133,-2.088593,-1.695876,0.200172,-0.029049,1.075046
0.868740,4.135903,-2.093150,-1.622048,0.211739,-0.025606,1.110532
0.918966,4.209255,-1.883548,-1.638383,0.179373,0.007212,1.038819
0.972270,4.116261,-2.027074,-1.560946,0.189673,-0.004363,1.070699
1.019241,4.149379,-2.041955,-1.686811,0.196114,-0.003435,1.082303
1.071867,4.101885,-1.958931,-1.589253,0.176636,-0.009996,1.046092
1.120148,4.084806,-2.019555,-1.634486,0.207066,-0.004130,1.082457
1.170353,4.237261,-2.117964,-1.660455,0.227532,0.013354,1.104666
1.219159,4.108298,-2.031674,-1.611492,0.201999,-0.003385,1.065481
1.268564,4.112488,-1.942589,-1.623854,0.195887,0.010716,1.066321
1.318936,4.245958,-2.033075,-1.605350,0.198440,0.017936,1.064749
1.376018,4.174413,-2.075504,-1.735734,0.213577,-0.011367,1.087078
1.419532,4.217618,-1.842051,-1.614758,0.193996,0.007494,1.046272
1.469507,4.115508,-2.177238,-1.747332,0.207117,-0.044531,1.102973
1.525877,4.287889,-1.903530,-1.632841,0.212350,0.008022,1.060020
1.568647,4.180315,-2.059730,-1.783802,0.235007,-0.053951,1.124036
1.618914,4.226045,-2.059415,-1.558597,0.204457,0.042563,1.079373
1.672300,3.953675,-1.942443,-1.714853,0.191196,-0.036615,1.052896
1.719247,3.894640,-2.055119,-1.439899,0.215280,0.011576,1.079485
1.769319,4.229755,-2.156761,-1.698657,0.218383,-0.008405,1.100513
1.823118,4.089500,-1.919156,-1.655787,0.176389,-0.002451,1.040323
1.868768,4.104803,-2.042674,-1.560716,0.202414,-0.009782,1.070004
1.943817,4.062732,-2.017498,-1.551284,0.209759,0.000987,1.083212
1.974238,4.093397,-1.985336,-1.604139,0.203653,-0.018596,1.083504
2.045587,4.197306,-2.138701,-1.596608,0.203926,0.026592,1.099403
